geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
14000US36081127700,"Census Tract 1277, Queens, NY",3331,563,2474,484,418,387,0,13,414,132,0,13,10,16,15,42,4,8,11,42
14000US36081128300,"Census Tract 1283, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081129102,"Census Tract 1291.02, Queens, NY",4083,823,2596,759,103,121,120,172,926,190,0,13,93,142,245,203,98,106,147,170
14000US36081129103,"Census Tract 1291.03, Queens, NY",4477,860,2602,426,62,47,0,13,1080,250,0,13,330,219,403,496,384,495,19,32
14000US36081129104,"Census Tract 1291.04, Queens, NY",4384,589,2406,501,66,38,186,285,1517,437,0,13,81,71,128,58,36,42,92,54
14000US36081130100,"Census Tract 1301, Queens, NY",4075,744,914,244,1218,718,62,63,1206,499,0,13,155,135,520,238,272,196,248,180
14000US36081133300,"Census Tract 1333, Queens, NY",4115,720,2092,619,113,114,0,13,1818,389,0,13,22,27,70,62,9,14,61,62
14000US36081133900,"Census Tract 1339, Queens, NY",1310,202,684,126,3,4,0,13,584,164,0,13,17,27,22,29,21,27,1,4
14000US36081134100,"Census Tract 1341, Queens, NY",3508,628,1264,274,85,119,0,13,1998,610,0,13,139,161,22,25,0,13,22,25
14000US36081134701,"Census Tract 1347.01, Queens, NY",5313,664,978,344,869,467,0,18,2467,547,0,18,529,329,470,363,287,333,183,145
14000US36081134702,"Census Tract 1347.02, Queens, NY",4726,874,1175,262,595,384,0,13,2643,832,0,13,120,132,193,167,37,49,156,161
14000US36081136700,"Census Tract 1367, Queens, NY",6585,1338,1715,427,412,447,0,18,3614,1106,0,18,508,540,336,240,195,195,141,145
14000US36081137700,"Census Tract 1377, Queens, NY",7882,1058,2594,900,562,550,159,249,3790,841,0,18,375,268,402,363,234,329,168,149
14000US36081138501,"Census Tract 1385.01, Queens, NY",4515,553,1316,296,0,13,0,13,2750,480,0,13,99,140,350,278,234,242,116,122
14000US36081138502,"Census Tract 1385.02, Queens, NY",94,83,78,60,4,8,0,13,8,15,0,13,0,13,4,9,4,9,0,13
14000US36081139900,"Census Tract 1399, Queens, NY",1662,274,505,202,3,7,0,13,1012,236,0,13,114,103,28,28,28,28,0,13
14000US36081140300,"Census Tract 1403, Queens, NY",2729,429,960,259,12,13,13,21,1656,374,0,13,88,102,0,13,0,13,0,13
14000US36081140901,"Census Tract 1409.01, Queens, NY",1261,569,314,155,38,34,0,13,550,211,0,13,317,511,42,38,0,13,42,38
14000US36081140902,"Census Tract 1409.02, Queens, NY",2647,413,808,181,4,3,0,13,1730,391,15,22,7,11,83,89,68,92,15,22
14000US36081141700,"Census Tract 1417, Queens, NY",5017,756,1395,392,91,138,15,23,3090,507,0,18,172,190,254,258,192,252,62,67
14000US36081142900,"Census Tract 1429, Queens, NY",4086,555,1419,402,0,13,0,13,2081,417,0,13,429,419,157,124,35,60,122,117
14000US36081143500,"Census Tract 1435, Queens, NY",2553,476,605,208,5,10,0,13,1645,278,0,13,50,81,248,375,0,13,248,375
14000US36081144100,"Census Tract 1441, Queens, NY",3172,484,1061,340,115,119,0,13,1733,439,0,13,176,148,87,70,78,69,9,12
14000US36081144700,"Census Tract 1447, Queens, NY",3436,645,649,417,761,233,48,83,1810,319,0,13,114,173,54,51,34,44,20,27
14000US36081145101,"Census Tract 1451.01, Queens, NY",1037,231,546,155,0,13,0,13,469,226,0,13,22,27,0,13,0,13,0,13
14000US36081145102,"Census Tract 1451.02, Queens, NY",2748,462,725,229,89,69,0,13,1512,300,0,13,277,327,145,111,104,103,41,33
14000US36081145900,"Census Tract 1459, Queens, NY",2854,556,1401,482,8,12,45,66,1100,319,0,13,168,101,132,88,89,81,43,40
14000US36081146300,"Census Tract 1463, Queens, NY",2951,700,1249,407,133,123,13,23,1067,383,0,13,373,303,116,96,116,96,0,13
14000US36081146700,"Census Tract 1467, Queens, NY",2828,381,1639,391,80,131,0,13,948,263,0,13,18,25,143,118,117,117,26,34
14000US36081147100,"Census Tract 1471, Queens, NY",3322,494,2067,337,56,57,0,13,1136,410,0,13,15,18,48,50,48,50,0,13
14000US36081147900,"Census Tract 1479, Queens, NY",4649,643,2291,401,54,55,87,114,1480,280,0,13,211,223,526,478,388,454,138,106
14000US36081148300,"Census Tract 1483, Queens, NY",2960,578,1781,501,8,14,0,13,1089,378,0,13,44,54,38,48,0,13,38,48
14000US36081150701,"Census Tract 1507.01, Queens, NY",3295,476,1931,358,2,5,0,13,1107,238,0,13,44,57,211,180,0,13,211,180
14000US36081150702,"Census Tract 1507.02, Queens, NY",3184,454,1715,323,48,46,0,13,1092,235,0,13,263,303,66,70,66,70,0,13
14000US36081152901,"Census Tract 1529.01, Queens, NY",6291,711,1980,420,378,384,0,18,3753,728,0,18,104,66,76,79,58,74,18,28
14000US36081152902,"Census Tract 1529.02, Queens, NY",6168,992,2594,506,89,97,0,18,3183,917,0,18,61,96,241,196,170,179,71,82
14000US36081155101,"Census Tract 1551.01, Queens, NY",2075,482,2003,497,0,13,0,13,72,75,0,13,0,13,0,13,0,13,0,13
14000US36081155103,"Census Tract 1551.03, Queens, NY",4986,723,2367,629,708,440,0,13,1251,587,0,13,205,285,455,292,355,264,100,130
14000US36081155104,"Census Tract 1551.04, Queens, NY",3867,1009,1207,394,271,124,0,13,1811,888,0,13,385,310,193,153,70,54,123,146
14000US36081156700,"Census Tract 1567, Queens, NY",1652,409,366,116,537,221,0,13,500,178,0,13,200,172,49,44,21,26,28,36
14000US36081157101,"Census Tract 1571.01, Queens, NY",8902,1421,1930,634,185,199,0,18,4871,1112,0,18,1209,848,707,355,380,249,327,303
14000US36081157102,"Census Tract 1571.02, Queens, NY",2297,340,415,131,111,81,34,38,1349,303,0,13,224,198,164,95,74,64,90,72
14000US36081157901,"Census Tract 1579.01, Queens, NY",5825,971,1222,222,89,114,0,18,3551,900,0,18,736,632,227,125,164,109,63,54
14000US36081157902,"Census Tract 1579.02, Queens, NY",4218,713,937,262,70,84,82,110,2657,736,39,58,169,203,264,173,98,95,166,174
14000US36081157903,"Census Tract 1579.03, Queens, NY",4378,615,1109,297,82,83,91,114,2864,718,0,13,170,130,62,46,36,33,26,29
14000US36081161700,"Census Tract 1617, Queens, NY",5155,690,1914,380,820,561,0,18,1162,301,0,18,889,481,370,246,165,127,205,199
14000US36081162100,"Census Tract 1621, Queens, NY",6244,905,1433,325,363,184,28,43,3362,822,0,18,641,301,417,183,316,171,101,102
