geoid,name,B01003001,"B01003001, Error"
14000US36047006700,"Census Tract 67, Kings, NY",4102,529
14000US36047006800,"Census Tract 68, Kings, NY",4684,775
14000US36047006901,"Census Tract 69.01, Kings, NY",1838,278
14000US36047006902,"Census Tract 69.02, Kings, NY",2157,354
14000US36047007000,"Census Tract 70, Kings, NY",2632,375
14000US36047007100,"Census Tract 71, Kings, NY",4669,857
14000US36047007200,"Census Tract 72, Kings, NY",1844,401
14000US36047007400,"Census Tract 74, Kings, NY",5508,1002
14000US36047007500,"Census Tract 75, Kings, NY",4811,810
14000US36047007600,"Census Tract 76, Kings, NY",5327,1257
14000US36047007700,"Census Tract 77, Kings, NY",6211,779
14000US36047007800,"Census Tract 78, Kings, NY",5053,943
14000US36047008000,"Census Tract 80, Kings, NY",3571,716
14000US36047008200,"Census Tract 82, Kings, NY",3780,596
14000US36047008400,"Census Tract 84, Kings, NY",3742,803
14000US36047008500,"Census Tract 85, Kings, NY",7412,1364
14000US36047008600,"Census Tract 86, Kings, NY",0,13
14000US36047008800,"Census Tract 88, Kings, NY",2531,477
14000US36047009001,"Census Tract 90.01, Kings, NY",1388,277
14000US36047009002,"Census Tract 90.02, Kings, NY",1392,606
14000US36047009201,"Census Tract 92.01, Kings, NY",2182,453
14000US36047009202,"Census Tract 92.02, Kings, NY",3653,674
14000US36047009401,"Census Tract 94.01, Kings, NY",2460,429
14000US36047009402,"Census Tract 94.02, Kings, NY",2970,593
14000US36047009600,"Census Tract 96, Kings, NY",5822,600
14000US36047009800,"Census Tract 98, Kings, NY",6364,934
14000US36047010000,"Census Tract 100, Kings, NY",5434,1074
14000US36047010100,"Census Tract 101, Kings, NY",4393,746
14000US36047010200,"Census Tract 102, Kings, NY",5025,927
14000US36047010401,"Census Tract 104.01, Kings, NY",2411,657
14000US36047010402,"Census Tract 104.02, Kings, NY",2207,622
14000US36047010601,"Census Tract 106.01, Kings, NY",2773,481
14000US36047010602,"Census Tract 106.02, Kings, NY",2185,688
14000US36047010801,"Census Tract 108.01, Kings, NY",1895,413
14000US36047010802,"Census Tract 108.02, Kings, NY",2413,768
14000US36047011000,"Census Tract 110, Kings, NY",2490,739
14000US36047011200,"Census Tract 112, Kings, NY",6274,942
14000US36047011400,"Census Tract 114, Kings, NY",3709,785
14000US36047011600,"Census Tract 116, Kings, NY",3480,770
