,geoid,name,total_population,poc_percent,female_pop_percent,poverty_level_percent,over_65_percent
897,14000US36047059000,"Census Tract 590, Kings, NY",2025,56.04938271604938,50.370370370370374,22.666666666666668,16.641975308641975
898,14000US36047059100,"Census Tract 591, Kings, NY",3963,16.88115064345193,51.67802170073177,5.021448397678526,10.522331566994701
899,14000US36047059200,"Census Tract 592, Kings, NY",4190,31.98090692124105,53.627684964200476,17.064439140811455,19.045346062052506
900,14000US36047059300,"Census Tract 593, Kings, NY",2396,17.65442404006678,47.454090150250416,12.604340567612688,9.474123539232053
901,14000US36047059402,"Census Tract 594.02, Kings, NY",5942,28.559407606866376,49.96634129922585,6.9000336587007745,21.541568495456076
902,14000US36047059403,"Census Tract 594.03, Kings, NY",3456,56.105324074074076,43.20023148148148,13.049768518518519,14.814814814814815
903,14000US36047059404,"Census Tract 594.04, Kings, NY",4313,39.76350568050081,51.6114073730582,13.47090192441456,22.675631810804543
904,14000US36047059600,"Census Tract 596, Kings, NY",2445,22.167689161554193,49.243353783231086,12.924335378323109,22.208588957055216
905,14000US36047059800,"Census Tract 598, Kings, NY",3712,22.629310344827587,45.44719827586207,17.67241379310345,17.807112068965516
906,14000US36047060000,"Census Tract 600, Kings, NY",6344,16.92938209331652,48.53404791929382,9.757250945775535,23.486759142496847
907,14000US36047060600,"Census Tract 606, Kings, NY",2896,27.31353591160221,54.523480662983424,13.777624309392266,26.035911602209946
908,14000US36047060800,"Census Tract 608, Kings, NY",3986,24.535875564475663,54.01404917210236,11.490215755143,19.317611640742598
909,14000US36047061002,"Census Tract 610.02, Kings, NY",5247,1.315037164093768,53.64970459310082,11.930627024966647,32.1517057366114
910,14000US36047061003,"Census Tract 610.03, Kings, NY",1842,68.29533116178067,49.3485342019544,30.18458197611292,15.635179153094462
911,14000US36047061004,"Census Tract 610.04, Kings, NY",6218,16.194917980057898,53.65069154068832,16.194917980057898,26.48761659697652
912,14000US36047061200,"Census Tract 612, Kings, NY",1169,7.95551753635586,52.18135158254919,3.507271171941831,29.683490162532078
913,14000US36047061600,"Census Tract 616, Kings, NY",1508,2.055702917771883,52.58620689655172,0.7957559681697612,56.89655172413793
914,14000US36047062000,"Census Tract 620, Kings, NY",2021,1.5338941118258287,46.16526472043543,6.432459178624443,22.01880257298367
915,14000US36047062200,"Census Tract 622, Kings, NY",2786,33.704235463029434,54.41493180186647,13.639626704953338,27.853553481694185
916,14000US36047062600,"Census Tract 626, Kings, NY",3105,40.03220611916264,51.851851851851855,8.083735909822867,22.1256038647343
917,14000US36047062800,"Census Tract 628, Kings, NY",5009,17.588340986224797,49.13156318626472,7.8259133559592735,17.36873627470553
918,14000US36047063200,"Census Tract 632, Kings, NY",1471,17.403127124405167,49.5581237253569,13.324269204622706,28.21210061182869
919,14000US36047063600,"Census Tract 636, Kings, NY",1254,29.984051036682615,55.422647527910684,8.133971291866029,16.188197767145134
920,14000US36047063800,"Census Tract 638, Kings, NY",2258,26.08503100088574,46.855624446412754,4.605845881310895,13.286093888396811
