geoid,name,B29001001,"B29001001, Error",B29001002,"B29001002, Error",B29001003,"B29001003, Error",B29001004,"B29001004, Error",B29001005,"B29001005, Error"
14000US36047050803,"Census Tract 508.03, Kings, NY",2126,407,653,228,694,189,467,107,312,126
14000US36047050804,"Census Tract 508.04, Kings, NY",4182,664,979,269,1388,352,1370,463,445,162
14000US36047050900,"Census Tract 509, Kings, NY",2137,361,842,285,770,177,447,124,78,57
14000US36047051001,"Census Tract 510.01, Kings, NY",2467,467,543,190,790,321,681,201,453,155
14000US36047051002,"Census Tract 510.02, Kings, NY",2606,322,786,238,738,184,628,186,454,154
14000US36047051100,"Census Tract 511, Kings, NY",3731,546,1459,488,889,198,817,190,566,108
14000US36047051200,"Census Tract 512, Kings, NY",4003,894,1306,675,1334,372,892,253,471,122
14000US36047051300,"Census Tract 513, Kings, NY",4244,615,1369,405,1792,371,583,257,500,242
14000US36047051400,"Census Tract 514, Kings, NY",4749,740,844,275,1819,406,1357,361,729,180
14000US36047051500,"Census Tract 515, Kings, NY",1809,233,548,196,958,172,227,124,76,48
14000US36047051601,"Census Tract 516.01, Kings, NY",3268,554,1056,358,894,262,832,235,486,144
14000US36047051602,"Census Tract 516.02, Kings, NY",2374,412,501,140,697,217,625,226,551,154
14000US36047051700,"Census Tract 517, Kings, NY",1844,402,522,194,974,244,282,182,66,50
14000US36047051800,"Census Tract 518, Kings, NY",2592,400,594,265,839,315,593,125,566,168
14000US36047051900,"Census Tract 519, Kings, NY",4423,724,1380,405,2230,649,596,300,217,108
14000US36047052000,"Census Tract 520, Kings, NY",2704,619,607,180,835,264,734,149,528,360
14000US36047052300,"Census Tract 523, Kings, NY",4179,657,1589,449,1057,295,832,218,701,183
14000US36047052500,"Census Tract 525, Kings, NY",2154,379,638,218,535,226,559,157,422,165
14000US36047052600,"Census Tract 526, Kings, NY",3019,358,615,239,990,216,901,197,513,155
14000US36047052700,"Census Tract 527, Kings, NY",4760,669,1625,520,1458,319,918,353,759,273
14000US36047052800,"Census Tract 528, Kings, NY",1351,207,261,98,319,117,430,91,341,84
14000US36047052900,"Census Tract 529, Kings, NY",2015,591,809,296,409,211,497,211,300,160
14000US36047053000,"Census Tract 530, Kings, NY",1951,380,429,110,530,258,568,141,424,139
14000US36047053101,"Census Tract 531.01, Kings, NY",1293,113,444,261,572,290,133,71,144,153
14000US36047053102,"Census Tract 531.02, Kings, NY",2588,656,831,330,1043,349,700,292,14,30
14000US36047053200,"Census Tract 532, Kings, NY",1762,261,443,124,333,78,491,110,495,174
14000US36047053300,"Census Tract 533, Kings, NY",3005,578,777,206,634,270,867,397,727,272
14000US36047053400,"Census Tract 534, Kings, NY",2764,582,607,214,674,274,752,219,731,217
